2026-08-09T23:14:34,913550493+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:35,022187252+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:35,131923017+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:35,241164854+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:35,351096611+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:35,460539610+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:35,569592419+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:35,679176896+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:35,789418129+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:35,898465248+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:36,007106946+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:36,118053657+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:36,226695096+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:36,335658736+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:36,444728808+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:36,553370737+00:00 status=503 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
2026-08-09T23:14:36,663225717+00:00 status=000 body={"status": "not_ready", "checks": {"application_initialized": true, "retriever_initialized": true, "inference_endpoint_reachable": true, "model_ready": true, "accepting_requests": false}, "checked_at_utc": "2026-08-09T23:14:30.924753+00:00", "detail": "service is draining"}
